2014-06-22 12:00:00;Super Mario 3D World;SlowKingsPants;1:49:16;;Veegie64, Coolstoryliv;Mario Cat Ears, Princess Peach perler. Chance to win PS4 starts now and lasts through Day 4.
2014-06-22 14:30:00;Crash Bandicoot: Warped;SSBMStuff;0:49:06;;;SGDQ Chainmail Inlay start
2014-06-22 15:22:00;Ape Escape 2;iongravirei;1:06:17;o[8(|);SSBMStuff;
2014-06-22 16:48:00;Super Monkey Ball 2;Geoff, Miles;0:19:52;Expert mode race;Jumpyluff;SGDQ Chainmail Inlay end
2014-06-22 17:20:00;Donkey Kong Country;Garrison;0:36:51;All Stages;;Banana zip pouch, SNES bundle with boxed DKC1 and DKC2 start
2014-06-22 18:03:00;Donkey Kong Country 2: Diddy's Kong Quest;Garrison, Twig;0:47:48;Race!;;Banana zip pouch, SNES bundle with boxed DKC1 and DKC2 end
2014-06-22 19:01:00;Kirby's Dream Land;TrUShade;0:14:36;Incentive for Extra (hard) Mode;romscout;Soul Eater Giclee print start
2014-06-22 19:25:00;Kirby Super Star;Countdown42;1:27:05;100;%romscout, Radman;Soul Eater Giclee print end
2014-06-22 21:00:00;Banjo-Tooie;Hyperresonance;3:01:50;;Slowkingspants, Stivitybobo, AlbinoAlbotross, Cronikeys;N64 Speedrunner Bundle: Japanese N64 with SM64, OoT, Banjo Tooie
2014-06-23 0:10:00;Pikmin;CaptainX24;1:22:17;Best Ending run;Kirbymastah, doicm, Miles, CaptPikPik;
2014-06-23 1:45:00;Jet Set Radio HD;witwix;0:44:23;;;
2014-06-23 2:40:00;Bioshock 2;BloodThunder;1:21:06;;;
2014-06-23 4:12:00;Amnesia: A Machine For Pigs;Weables, ShadowDraft;0:37:19;Incentive for Amnesia Justine run;ShadowDraft, ProfessorBroman;
2014-06-23 5:07:00;Goosebumps: Attack of the Mutant;pcull44444;0:29:24;All cutscenes;;
2014-06-23 5:52:00;Pizza Pop;EggmaniMN;0:10:29;;MURPHGATOR!;Samurai Pizza Cats DVD Box Set, Samurai Pizza Cats perler, Samurai Pizza Cats repro cart, Kaizou Choujin Zero repro cart, Choujin Sentai Jetman repro cart start
2014-06-23 6:08:00;Samurai Pizza Cats;Trogdor;0:14:30;;EvenSteven02, fKefka14;
2014-06-23 6:39:00;Metal Warriors;Omnigamer;0:22:30;;;
2014-06-23 7:06:00;Kaizou Choujin Shubibinman Zero;tonic;0:17:42;;doicm;
2014-06-23 7:39:00;Choujin Sentai Jetman (Power Rangers);Guhbadoo;0:09:59;;Lurk;
2014-06-23 7:54:00;Mystical Ninja Starring Goemon;Pykn;1:27:41;;YashichiDSF;Samurai Pizza Cats DVD Box Set, Samurai Pizza Cats perler, Samurai Pizza Cats repro cart, Kaizou Choujin Zero repro cart, Choujin Sentai Jetman repro cart end
2014-06-23 9:40:00;Alex Kidd in Shinobi World;Deepfreeze;0:08:47;;Btrim;
2014-06-23 9:54:00;Castle of Illusion Starring Mickey Mouse (SMS);btrim;0:15:07;Start of Disney block;Deepfreeze ;
2014-06-23 10:15:00;Aladdin (Genesis);jymotion;0:16:11;All Levels;;
2014-06-23 10:38:00;Crusader of Centy;Geurge;0:50:02;Zelda-like Blast Processing action!;iongravirei;
2014-06-23 11:31:00;Earthworm Jim;Zyre;0:31:21;;Naegleria;Earthworm Jim perler
2014-06-23 12:09:00;Bonus game - Ecco the Dolphin;Blueglass;0:36:46;Buffer period #1. Potential bonus game.;;
2014-06-23 12:52:00;Pulseman;soothingplumtea;0:34:54;;;Pulseman repro cart, Pulseman perler
2014-06-23 13:38:00;Sonic the Hedgehog 2;Aleck47;0:27:07;Start of Sonic block;;Start for Sonic perler and Sonic Genesis Bundle: Genesis with boxed copies of every single Genesis Sonic game
2014-06-23 14:16:00;Tails' Adventure;boredeathly;0:17:36;;;
2014-06-23 14:36:00;Sonic Advance 2;Naegleria;0:37:15;;;
2014-06-23 15:34:00;Sonic Unleashed (day stages only);BrokenArthritis;0:47:28;Incentive for Eggmanland: end of Sonic block;PvtCb, Naegleria;End for Sonic perler and Sonic Genesis Bundle: Genesis with boxed copies of every single Genesis Sonic game
2014-06-23 16:47:00;Mega Man;Adefgames;0:22:17;Start of Mega Man block;;Start for Mad Catz cutomized Mega Man headset, Beat plushie, Tango perler, Blue Storm Giclee print
2014-06-23 17:17:00;Mega Man 3;Checkers;0:35:20;;;
2014-06-23 17:57:00;Mega Man 5;darkman78;0:37:27;;;
2014-06-23 18:45:00;Mega Man 6;DarkTerrex, Golden;0:37:35;Race!;;
2014-06-23 19:49:00;Mega Man V (Gameboy);mrcab, Virtualboyness;0:52:58;Race! End of Mega Man block;PJ;End for Mad Catz customized Mega Man headset, Beat plushie, Tango perler, Blue Storm Giclee print
2014-06-23 20:50:00;The Legend of Zelda: Four Swords Adventures;Zmaster91;2:27:46;;Yashichi, Testrunner, KirbyMastah, 26pt2 ;Crazy Link poster by Kari Fry, The Last Arrow Giclee print
2014-06-23 23:26:00;Resident Evil 2;Carcinogen;0:57:30;Choice of scenario;;
2014-06-24 0:51:00;System Shock 2;Cirno;0:16:50;;Cubeface, ProfessorBroman, witwix;
2014-06-24 1:20:00;Psychonauts;Duke Bilgewater;0:55:06;;;
2014-06-24 2:26:00;Deus Ex: Human Revolution;Xexi;1:11:16;;Shadowdraft, EvenSteven02;
2014-06-24 3:50:00;Sly Cooper and the Thievus Raccoonus;LovableLambchop;1:07:36;;VivaLaGaming, Hagspam, Mayushii;
2014-06-24 5:08:00;Blasto;Saint Connor;0:21:22;;PJ;
2014-06-24 5:42:00;Chameleon Twist;Kefka14;0:14:37;;KirkQ ;
2014-06-24 5:59:00;Gex 64;AlbinoAlbatross;1:05:19;;NesKamikaze, Kefka14;
2014-06-24 7:21:00;Bomberman Hero;PvtCb, Yashi, Kirkq;0:46:19;Race!;ZachSK;
2014-06-24 8:21:00;Treasure Master;MechaRichter;0:29:55;;Gildersneeze, PJ, Romscout, Klaige, MURPHGATOR!;
2014-06-24 8:57:00;Kickmaster;Zyre;0:13:24;;PJ, MURPHGATOR!;
2014-06-24 9:19:00;Marble Madness;bassdeluxe27;0:02:56;;Crak Atak;
2014-06-24 9:25:00;Metal Storm;UraniumAnchor;0:12:41;;Puwexil, MURPHGATOR!, lur;Metal Storm perler
2014-06-24 9:42:00;StarTropics II: Zoda's Revenge;Guhbadoo;1:03:14;;;Sealed copy of StarTropics II
2014-06-24 10:51:00;Clash at Demonhead;Gildersneeze;0:22:07;;Mecharichter, PJ;Clash at Demonhead perler
2014-06-24 11:20:00;Arkista's Ring;Feasel;0:16:02;;;
2014-06-24 11:40:00;Rygar;Darkwing Duck;0:26:00;;;Rygar glasswork
2014-06-24 12:18:00;8 Eyes;Feasel;0:23:51;;;Skeleton Waiter perler
2014-06-24 12:57:00;Shatterhand;UraniumAnchor, Klaige;0:26:18;Race!;Puwexil, MURPHGATOR!;
2014-06-24 14:23:00;Bucky O'Hare;Garrison;0:31:12;Buffer period #2. Donation met: Guaranteed bonus game: Bucky O'Hare hard mode run by Garrison. Post game interview by iateyourpie.;;
2014-06-24 15:12:00;Super Meat Boy;MattyIce3131;1:48:44;106% run: incentive for doing a world blindfolded;;
2014-06-24 17:23:00;I Wanna Be The Boshy;witwix;0:44:42;;;Boshy perler
